side,source_label,relative_path,feature_set,feature_name,policy_or_status,source_feature_column
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,historical_war_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,other_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_basic,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_cold_start_3d_fixed,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_cold_start_7d_fixed,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,conservative_safe_22,05x_conservative_safe_22_with_patch2_fixed_policy,,conservative_safe_22_basis
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_promotion,approved_scope_limited,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_churn_prevented,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_user_verified,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_standard,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_premium,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,age_group,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_female,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,is_male,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,reg_is_weekend,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,reg_hour_morning,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,reg_hour_afternoon,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,reg_hour_evening,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,reg_hour_night,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,payment_is_mobile,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,payment_is_pc,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,payment_is_android,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,payment_is_ios,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,total_watch_count,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,unique_movie,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,watch_days,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,active_ratio,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,total_watch_time(min),approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,watch_per_day,approved,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,expanded_feature_set,avg_watch_time(min),approved,original_feature_name
