trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,learning_rate,max_depth,min_samples_leaf,min_samples_split,subsample,max_features
43,0.8648892073357028,0.8756882927838607,0.8972864636801766,0.021598170896315882,False,141,0.046647130197592056,3,72,297,0.7424207589753378,
73,0.864848017601545,0.874322251066167,0.8932707179954111,0.018948466929244123,False,210,0.030609400583205347,3,274,137,0.8517864498755929,
74,0.8645496927808682,0.8768633552265674,0.901490680117966,0.024627324891398517,False,236,0.03573023302011311,3,195,118,0.8676504073791319,
86,0.8642046289738944,0.8734896522775634,0.8920596988849013,0.018570046607337964,False,187,0.04781858828627149,3,247,220,0.758023116723054,sqrt
0,0.8642033379302925,0.8729386304299422,0.8904092154292418,0.017470584999299543,False,125,0.046187109390049115,3,200,178,0.6467983561008608,
59,0.8641313102980606,0.8726465650572489,0.8896770745756257,0.017030509518376813,False,225,0.024889267186962022,3,288,198,0.8351954812181761,
66,0.8638749431779362,0.872203096229137,0.8888594023315386,0.01665630610240154,False,249,0.02205324883038659,3,290,216,0.8188882138333284,
37,0.8635781791279831,0.8712300065236607,0.8865336613150159,0.015303654791355203,False,230,0.03784612021132646,2,119,304,0.6216297399328454,
99,0.8631321349094274,0.8722597048660778,0.8905148447793787,0.018255139913300855,False,173,0.047570324058021675,3,227,116,0.7638222745897957,sqrt
42,0.8627082755751398,0.8715699663524671,0.8892933479071214,0.01772338155465436,False,196,0.02527655003376504,3,124,341,0.781301159511404,
35,0.8625002188374857,0.8692043986742105,0.88261275834766,0.013408359673449444,False,220,0.03534245495521047,2,164,406,0.6385438472908628,
20,0.8624630796488517,0.8697354726478481,0.8842802586458408,0.014544785997992693,False,186,0.043038437303755984,2,90,328,0.7842108906915644,
36,0.86074103726632,0.8693303588471488,0.8865090020088063,0.017178643161657514,False,209,0.029668839835354895,3,114,231,0.6476403762978289,sqrt
44,0.8595682309926004,0.8674010155457055,0.8830665846519157,0.015665569106210198,False,100,0.03894298704474837,3,102,276,0.6143035008237901,
23,0.8592742679434133,0.8656511459578468,0.8784049019867137,0.01275375602886697,False,154,0.040950952168830955,2,53,368,0.681092708712394,
51,0.859172892976259,0.8663201382480514,0.8806146287916363,0.014294490543584892,False,86,0.04639336756601,3,225,309,0.6920947565612594,
49,0.8585461489697861,0.8643900599417007,0.8760778818855298,0.011687821943829113,False,216,0.030417559579302294,2,282,325,0.6253863954560106,
17,0.8580415388712921,0.8645913256500355,0.8776908992075223,0.01309957355748681,False,195,0.031438320214983585,2,85,349,0.7642237682531265,
45,0.8579476656597442,0.8650016298474522,0.8791095582228682,0.014107928375415968,False,117,0.04625171554203683,3,204,427,0.6738204844056626,sqrt
27,0.8578243794863893,0.8659530119766391,0.8822102769571387,0.01625726498049962,False,128,0.02855388145607,3,110,228,0.7081995344030587,
40,0.8573908758360355,0.8650224368489262,0.8802855588747077,0.015263122025781506,False,173,0.02052609059011516,3,133,534,0.8221054972461926,
12,0.8562419553315275,0.8638156617506558,0.8789630745889125,0.015147412838256713,False,204,0.016957698288625953,3,186,179,0.8036844194695725,
19,0.855812977309397,0.8618491749382677,0.8739215701960094,0.01207239525774162,False,205,0.02664670855378808,2,152,273,0.7292090556030568,
24,0.8539536040842921,0.8614699608737368,0.8765026744526262,0.015032713578889356,False,94,0.03166604159193326,3,86,462,0.7457867087395511,
26,0.8523060399255484,0.8578346008641107,0.868891722741235,0.011057121877124376,False,145,0.04087422477297614,2,75,329,0.668141841934061,sqrt
11,0.8522116855495987,0.8591069083898002,0.8728973540702032,0.013790445680402996,False,182,0.01531170154185624,3,184,573,0.8394815118118929,
69,0.8517535136719232,0.8579164777627193,0.8702424059443115,0.012325928181592172,False,220,0.017123776566721146,3,253,160,0.7654461217579874,sqrt
13,0.8499411033599562,0.8551881231753342,0.8656821628060903,0.010494039630756125,False,223,0.01899611039927435,2,207,196,0.7551004042955007,
46,0.8470765847382667,0.8512913960515958,0.8597210186782538,0.008429622626658029,False,230,0.04241552616645964,1,161,378,0.7741508745324143,
6,0.8468407900286743,0.8527410264064658,0.8645414991620488,0.011800472755583047,False,159,0.013465042222746467,3,244,570,0.8684482051282947,
97,0.8451057392866472,0.8488146170589632,0.8562323726035952,0.0074177555446319765,False,194,0.04560463611899491,1,237,150,0.7824401487321847,
4,0.8427395330776059,0.8478391792006486,0.858038471446734,0.0101992922460854,False,63,0.04605136717611768,3,252,252,0.6293016342019151,sqrt
2,0.8382675709080848,0.8425167002146381,0.8510149588277447,0.008498258613106602,False,111,0.02326960468194963,2,123,406,0.6418481581956126,
10,0.8347542200683988,0.8396360111948511,0.8493995934477555,0.009763582252904413,False,230,0.01009698825304352,2,54,107,0.7314242782385489,
9,0.8334359246566583,0.837988960114245,0.8470950310294183,0.009106070915173348,False,51,0.03715207529088701,3,232,486,0.6222133955202271,sqrt
1,0.8285779627823472,0.8317212645438277,0.8380078680667886,0.006286603522960954,False,170,0.03125514318167612,1,293,517,0.6637017332034828,
3,0.8236453843168923,0.8266729720802626,0.8327281476070032,0.006055175526740619,False,141,0.03538461259525517,1,179,396,0.6139351238159994,sqrt
50,0.8232389765310726,0.8268283215786525,0.8340070116738122,0.007178690095159701,False,176,0.010834701040678735,2,236,403,0.8582402811317658,sqrt
39,0.8206528672835578,0.8237558966444553,0.8299619553662501,0.006206058721794805,False,135,0.03418250351253183,1,72,247,0.6587262116968832,sqrt
8,0.802017409142581,0.8044742082223909,0.8093878063820107,0.004913598159619781,False,106,0.023951255499127366,1,251,137,0.8960660809801553,sqrt
5,0.7930070402518021,0.795108323631118,0.7993108903897499,0.004202566758631843,False,74,0.022187777750487168,1,278,229,0.7987566853061946,
7,0.789122916486136,0.790676512577028,0.7937837047588119,0.003107192181783902,False,67,0.013708380237042895,1,131,294,0.6814047095321688,sqrt
