window,feature_set,feature_family,model_name,model_group,contains_is_churn_prevented,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,n_train,n_test,post_transform_feature_count
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,LogisticRegression,required_sklearn,N,0.7921791809451122,0.8977696691217444,0.5895847009023738,0.7119958857518782,0.4969604863221885,0.7155361050328227,0.5865470852017938,19156.0,4777.0,112.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,LogisticRegression,required_sklearn,Y,0.7921145076714924,0.8977405427849603,0.5894959091949379,0.7118490859867579,0.49670886075949366,0.7155361050328227,0.5863717872086073,19156.0,4777.0,113.0
w1_4,content_w1_4_only,content_only,XGBClassifier,optional_booster,N,0.7905920088675196,0.890913060800564,0.6316810992068757,0.6649157769808546,0.6972010178117048,0.399708242159008,0.5081131200741771,19156.0,4777.0,54.0
w1_3,usage_w1_3_only,usage_only,LogisticRegression,required_sklearn,N,0.7819741880827287,0.8895237464955602,0.5741181568772277,0.7083371344942828,0.4816053511705686,0.7352297592997812,0.581986143187067,19156.0,4777.0,27.0
w1_4,content_w1_4_only,content_only,LogisticRegression,required_sklearn,N,0.7777713889720503,0.8842425016093751,0.6003812752010597,0.7129129827527944,0.4819672131147541,0.75054704595186,0.5869937250427838,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,ExtraTreesClassifier,required_sklearn,N,0.7737487970128657,0.8849226308766498,0.5877849046868492,0.6974770570491085,0.4980863860032805,0.6644784828592268,0.569375,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,HistGradientBoostingClassifier,required_sklearn,N,0.7704987508635596,0.8826574908680307,0.5878909048403557,0.6492864739060473,0.6640826873385013,0.37490882567469,0.47925407925407926,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,LGBMClassifier,optional_booster,N,0.768790048710539,0.880080523450901,0.588290987128512,0.6503048638156461,0.6632522407170295,0.37782640408460977,0.48141263940520446,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,XGBClassifier,optional_booster,N,0.765554564755293,0.8799506697049511,0.583706773160802,0.6353088020325396,0.6676258992805756,0.3384390955506929,0.4491771539206196,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,LogisticRegression,required_sklearn,N,0.7508763014425567,0.8698365357313764,0.5537496890160132,0.6845233429829284,0.4435763888888889,0.7454412837345004,0.5561904761904762,19156.0,4777.0,54.0
