trial,mean_valid_auc,mean_train_auc,gap,overfit,penalty,C
110,0.8602974887857335,0.868185462243491,0.007887973457757491,False,l1,0.36367378729805594
63,0.8602974764531732,0.8681636611418589,0.007866184688685718,False,l1,0.34296204082024967
187,0.8602971328757256,0.8681573367215962,0.007860203845870606,False,l1,0.33292876332415494
157,0.8602964513265405,0.8682499799039552,0.007953528577414715,False,l1,0.42636224553607305
146,0.8602961027039548,0.8681787278541997,0.007882625150244849,False,l1,0.3560023099672494
31,0.8602960999011,0.8681775407635982,0.007881440862498201,False,l1,0.35425135979538075
195,0.8602960948559615,0.8681628192230049,0.007866724367043387,False,l1,0.3422873630786771
175,0.8602957552025108,0.8681777135242974,0.00788195832178662,False,l1,0.35448279150463347
79,0.8602954088222088,0.8683139050899253,0.008018496267716557,False,l1,0.5640626734383424
193,0.8602943679995899,0.8683326407577671,0.008038272758177145,False,l1,0.635681627106632
131,0.8602936847686916,0.868187016451671,0.007893331682979343,False,l1,0.36455627066963914
84,0.8602923026109093,0.8681817712722287,0.007889468661319454,False,l1,0.35979365549860987
21,0.8602919483826141,0.8681083600502717,0.007816411667657563,False,l1,0.30213884233479166
71,0.8602905757545376,0.8683417062582789,0.008051130503741288,False,l1,0.6662739174583486
99,0.8602905667854026,0.8681011938859806,0.007810627100578005,False,l1,0.29621706679320753
144,0.8602902288136646,0.8683470594885518,0.008056830674887272,False,l1,0.6953465764917687
125,0.8602898841150755,0.868345203248537,0.00805531913346158,False,l1,0.6821076107892557
18,0.8602898779487951,0.8681070003038662,0.007817122355071149,False,l1,0.2993236292419709
177,0.8602898751459402,0.8681003949496962,0.007810519803755911,False,l1,0.29198193081484264
115,0.8602891958390387,0.8683436922676823,0.008054496428643532,False,l1,0.6710301530774402
94,0.8602885411972581,0.8680269615983413,0.00773842040108319,False,l1,0.2512064617856606
80,0.8602884952304416,0.8681030284948503,0.00781453326440873,False,l1,0.29577479463674017
143,0.8602874779518019,0.8680833856738092,0.007795907722007223,False,l1,0.2794703029243798
93,0.8602874678615253,0.8683463041379849,0.008058836276459536,False,l1,0.6866256425962121
135,0.8602864214331969,0.8681310886949868,0.007844667261789895,False,l1,0.31417113621606
107,0.8602857342783021,0.8681283043874123,0.007842570109110159,False,l1,0.31216341605452885
199,0.860285390140284,0.8681001361364451,0.007814745996161054,False,l1,0.28982023131678414
124,0.8602853862162874,0.8681002870562086,0.007814900839921202,False,l1,0.2917946095907421
162,0.8602850443205527,0.8681162385301124,0.007831194209559689,False,l1,0.3072975472289308
155,0.8602846956979671,0.8681474068931117,0.00786271119514459,False,l1,0.3246959125348266
170,0.8602840489041796,0.8680217375080849,0.007737688603905224,False,l1,0.249341942539498
70,0.8602833376447349,0.8680690748277708,0.00778573718303599,False,l1,0.2713653641707768
106,0.8602830075209897,0.8680315159797424,0.007748508458752634,False,l1,0.25383937553617775
153,0.8602830007941387,0.8680495612079351,0.0077665604137964195,False,l1,0.2615909598348376
189,0.8602809269968938,0.8680515903485098,0.007770663351615914,False,l1,0.2621095577943478
105,0.8602805537091871,0.8683485053749214,0.008067951665734263,False,l1,0.7054403841064295
128,0.8602799041125451,0.8680207444247117,0.007740840312166597,False,l1,0.2484256779002193
156,0.8602788234893899,0.8683511817715261,0.00807235828213626,False,l1,0.7538860281614658
45,0.8602761118674923,0.8680085488417297,0.007732436974237422,False,l1,0.24375051426172542
