feature_set_name,dataset_scope,ladder_step,model_name,fold,train_row_count,valid_row_count,auc_train,auc_valid,ap_train,ap_valid,brier_train,brier_valid,logloss_train,logloss_valid,train_valid_auc_gap
conservative_safe_22,nonpromotion_only,L0_dummy_prior,DummyPrior,5,8940,2235,0.5,0.5,0.7624161073825504,0.7624161073825504,0.18113778658618981,0.18113778658618981,0.5482788915350202,0.5482788915350202,0.0
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,LogisticRegression,1,8941,2234,0.8145937982671547,0.8036001605674267,0.9273657266686639,0.9263763996664951,0.1373225816537137,0.14098428617434852,0.42960006141080737,0.434105631691811,0.010993637699728054
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,LogisticRegression,2,8939,2236,0.8152845653144098,0.802872906208062,0.9287001443951914,0.9205129791149522,0.1373955296987999,0.13919578087578954,0.4283660825998541,0.43947165248246994,0.012411659106347894
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,LogisticRegression,3,8941,2234,0.810971042262517,0.8204160598390124,0.9266485843476423,0.9297869425507235,0.13866763712464666,0.13570121669656118,0.43184520786276787,0.4249197214885878,-0.009445017576495407
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,LogisticRegression,4,8939,2236,0.814025226838438,0.8059197773249168,0.9274800720893103,0.9253440847766792,0.1373707891120868,0.14027096500091654,0.42923174224257066,0.43540654230188847,0.008105449513521212
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,LogisticRegression,5,8940,2235,0.8102048713340937,0.8212409264122084,0.9262534175044478,0.9297301122432814,0.13823869474951808,0.1360381631583874,0.4313486205047143,0.42685259172051004,-0.01103605507811467
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,HistGradientBoosting,1,8941,2234,0.9117145308325509,0.8209772717470996,0.9719498344489824,0.9327781764683702,0.10366352006930729,0.13424861885698902,0.32513840619508566,0.4188551382784683,0.09073725908545138
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,HistGradientBoosting,2,8939,2236,0.9111314219077502,0.8183706943685073,0.971432574281684,0.9231635589482622,0.1037401885093874,0.13360235118765673,0.3256320248346372,0.42658371407885787,0.09276072753924292
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,HistGradientBoosting,3,8941,2234,0.9092038790804091,0.8377754776383319,0.9710030459923573,0.9331870721443241,0.1053020202455661,0.12612559385268338,0.3299870166874743,0.4032381777337498,0.07142840144207718
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,HistGradientBoosting,4,8939,2236,0.9130315522008198,0.8294420420718944,0.9721753603647477,0.9315845831227496,0.10370777484792706,0.13170244518790808,0.32630777531804955,0.4145792352593654,0.08358951012892535
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,HistGradientBoosting,5,8940,2235,0.9106877069463232,0.8360415948294917,0.9711910287139403,0.9364700855116292,0.10431380265061008,0.13023089669987295,0.3286580499873595,0.40680804590739594,0.07464611211683148
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,RandomForest,1,8941,2234,0.879545935482552,0.8210502569410578,0.959633114852172,0.9302679521286741,0.11620491892547985,0.13391724976559805,0.36256271315488,0.4185953065452655,0.05849567854149418
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,RandomForest,2,8939,2236,0.8778895562436355,0.8268397479441767,0.9591091013176182,0.9286724652533532,0.11709717494693382,0.13077229053433387,0.3643212091362772,0.4139683528963313,0.05104980829945882
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,RandomForest,3,8941,2234,0.8754827578776556,0.842236974078092,0.9584165506236828,0.9398855659285068,0.11806745113764891,0.12608087382548389,0.36748712570566844,0.3976837584712047,0.033245783799563666
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,RandomForest,4,8939,2236,0.8774588844536741,0.8340728222630902,0.9588575116200291,0.9339870523979033,0.11699290449519036,0.13040333430866963,0.36505376872624923,0.4087975957203616,0.04338606219058394
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,RandomForest,5,8940,2235,0.876377028847599,0.836914692802136,0.9581544200162886,0.9379126857472809,0.11729797188394103,0.13146141676161807,0.36641793336654577,0.40807404208003867,0.03946233604546301
expanded_feature_set,overall_without_promotion,L0_dummy_prior,DummyPrior,1,18463,4616,0.5,0.5,0.7173807073606673,0.7175043327556326,0.20274562806737592,0.20269188051576534,0.5954101554139164,0.5952949976246648,0.0
expanded_feature_set,overall_without_promotion,L0_dummy_prior,DummyPrior,2,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.20273897315568784,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
expanded_feature_set,overall_without_promotion,L0_dummy_prior,DummyPrior,3,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.20273897315568784,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
expanded_feature_set,overall_without_promotion,L0_dummy_prior,DummyPrior,4,18461,4618,0.5,0.5,0.7174584258707546,0.7171935902988307,0.2027118330178136,0.2028270144709839,0.5953377452636809,0.5955845426989129,0.0
expanded_feature_set,overall_without_promotion,L0_dummy_prior,DummyPrior,5,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.2027389731556878,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,LogisticRegression,1,18463,4616,0.8499939663513398,0.8491855930099879,0.9337256619064804,0.9310740187318174,0.1384429180405029,0.13723041264134966,0.42606487585996583,0.42490499616947935,0.0008083733413519756
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,LogisticRegression,2,18464,4615,0.8501591808098508,0.8482982454840067,0.9328984438264281,0.9355973920640133,0.13773724232636395,0.14059598089992198,0.425306303329361,0.42865998343934786,0.001860935325844082
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,LogisticRegression,3,18464,4615,0.8494510474230974,0.851973367266205,0.9332927210279787,0.9331934653033005,0.13853307222364025,0.13680101110518034,0.42669294702835486,0.42259336993888125,-0.002522319843107579
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,LogisticRegression,4,18461,4618,0.851153455002119,0.8451194459240517,0.9341572582284358,0.9290918344058543,0.13763186436934557,0.14024470357055002,0.42387608904255725,0.433704814410473,0.006034009078067282
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,LogisticRegression,5,18464,4615,0.8517531880579003,0.8414345053576756,0.9340220432200359,0.9305327076182589,0.1374144967148843,0.141958462416756,0.4234678274728905,0.4358271486850706,0.010318682700224735
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,HistGradientBoosting,1,18463,4616,0.925322268460903,0.8710920134258024,0.970444123475906,0.9431254939635335,0.10186322034844973,0.12824976714024386,0.3253451476835212,0.39648443396352206,0.054230255035100594
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,HistGradientBoosting,2,18464,4615,0.9247276903078907,0.8757153372380223,0.9699590126321624,0.948849878342092,0.10170326105720381,0.1278834892485371,0.32600220665018986,0.39116724734202596,0.0490123530698684
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,HistGradientBoosting,3,18464,4615,0.9247072903022655,0.8725330882557305,0.9699883329528538,0.9444070040555284,0.10211889057518118,0.1271584749559725,0.3261205856831137,0.39387448187773255,0.052174202046535
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,HistGradientBoosting,4,18461,4618,0.9247284830251954,0.8725528682187748,0.9702214698649889,0.9440313672392405,0.10203469480765348,0.1274244112324664,0.3259594557834721,0.3951170492823788,0.052175614806420634
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,HistGradientBoosting,5,18464,4615,0.925374985379996,0.8711253434823132,0.9701137833424581,0.9448654793685631,0.10176164760382808,0.12879330941446468,0.3254160502092535,0.3975855778084794,0.05424964189768278
expanded_feature_set,overall_without_promotion,L2_expanded_feature_set,RandomForest,1,18463,4616,0.9081774315206198,0.851788717732136,0.9643051868964144,0.9344602853569368,0.11692867615766196,0.13864540833577593,0.3694229922492198,0.42732434830346533,0.05638871378848376
