trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_C,param_class_weight
60,0.8320981116152499,0.8349574838432179,0.8406762282991538,0.005718744455935898,False,0.007021483878939707,balanced
61,0.8352396086796662,0.8385381619551506,0.8451352685061195,0.006597106550968901,False,0.05094026751695036,balanced
62,0.8348801300794617,0.838059216387607,0.8444173890038978,0.0063581726162907914,False,0.02628386720325605,balanced
63,0.835221191869804,0.8384991087854512,0.8450549426167455,0.006555833831294322,False,0.045455602169399624,balanced
64,0.8351562557295864,0.838541327886362,0.8453114721999133,0.006770144313551274,False,0.07025990846488664,balanced
65,0.8350786837357582,0.8385573881569357,0.8455147969992906,0.006957408842354851,False,0.18265001873481446,balanced
66,0.8350687698734345,0.8383072595280996,0.8447842388374298,0.006476979309330222,False,0.03456996916330235,balanced
67,0.8342167207767359,0.8373576029071405,0.8436393671679496,0.006281764260809175,False,0.021551998511192487,
68,0.8352007351682991,0.8385005945257712,0.8451003132407156,0.006599718714944358,False,0.04828527647986813,balanced
69,0.8351748364543872,0.838585921522369,0.8454080916583326,0.0068221701359636455,False,0.09208324258748252,balanced
70,0.8351556926192739,0.8385954209497811,0.8454748776107955,0.006879456661014416,False,0.13138519548640684,balanced
71,0.8352204627471527,0.8384937106245495,0.8450402063793432,0.006546495754793713,False,0.04466244013993152,balanced
72,0.8351683034487127,0.8385486212786304,0.8453092569384657,0.006760635659835312,False,0.06993700387973727,balanced
73,0.8350697229639099,0.8382943158137808,0.8447435015135225,0.006449185699741733,False,0.033494520275327164,balanced
74,0.8342656329612217,0.8373797220185807,0.8436079001332988,0.006228178114718097,False,0.017173273188938284,balanced
75,0.8347964460652623,0.8379620620294519,0.8442932939578311,0.006331231928379255,False,0.02433450321233718,balanced
76,0.8352228785446906,0.8385121676238455,0.8450907457821554,0.006578578158309867,False,0.047473230082990314,balanced
77,0.8351355353083335,0.8384087662625888,0.8449552281710992,0.0065464619085104925,False,0.04089159236938863,balanced
78,0.8348185714270463,0.8382093019561484,0.8449907630143526,0.006781461058204208,False,0.08408003281417088,
79,0.8351470531251671,0.8385931488535696,0.8454853403103746,0.006892191456804975,False,0.14064097123578695,balanced
80,0.835008601085979,0.8385217895434686,0.8455481664584477,0.007026376914979093,False,0.27680464794800375,balanced
81,0.8352076915407595,0.8385319756489213,0.8451805438652451,0.006648568216323758,False,0.0544381190854582,balanced
82,0.8352164897315579,0.8384857936059174,0.8450244013546362,0.006538607748718839,False,0.04393774872221865,balanced
83,0.8350695009491638,0.8383034839955773,0.8447714500884045,0.006467966092827182,False,0.03425101501627267,balanced
84,0.8351933798690399,0.8385509222275995,0.8452660069447188,0.006715084717119235,False,0.06369686837583508,balanced
85,0.8352116547719262,0.8384818947611311,0.8450223747395409,0.006540479978409786,False,0.04384829255286957,balanced
86,0.834909730493927,0.8380921360986026,0.8444569473079536,0.006364811209351062,False,0.026979987468263723,balanced
87,0.8343040339144031,0.8374204413708867,0.8436532562838538,0.006232814912967122,False,0.01751894750579289,balanced
88,0.8351416388153794,0.8385729752839834,0.8454356482211915,0.006862672937208103,False,0.10118634264598723,balanced
89,0.8348359756467678,0.8382095886189906,0.8449568145634363,0.006747225944445656,False,0.07616558462355624,
90,0.8352017493841637,0.838537262544931,0.8452082888664657,0.006671026321534712,False,0.05708050651990701,balanced
91,0.8352222109790804,0.8385001128722998,0.8450559166587384,0.006555803786438608,False,0.045502310521330754,balanced
92,0.8350858005851816,0.8383549983057795,0.8448933937469754,0.006538395441195832,False,0.03828324460594244,balanced
93,0.8349655890115801,0.83817859474011,0.8446046061971698,0.006426011457059788,False,0.02987817227185974,balanced
94,0.8352174867058666,0.838506892018114,0.8450857026426087,0.006578810624494724,False,0.0471783748005027,balanced
95,0.8345898700081447,0.8377452698467739,0.8440560695240322,0.006310799677258339,False,0.02129482309938468,balanced
96,0.8352123177729625,0.8385645062021911,0.8452688830606485,0.006704376858457373,False,0.06430722562129844,balanced
97,0.8352134411036494,0.8384837821441,0.8450244642250013,0.0065406820809013055,False,0.043923135393071445,balanced
98,0.835145679834733,0.8385772402456082,0.8454403610673588,0.006863120821750557,False,0.10555399324955453,balanced
99,0.8338355271272416,0.8368923479931759,0.8430059897250445,0.006113641731868569,False,0.013454141110486583,balanced
